instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,1.8416962120682e-05,{}
2,4,10,BruteForce,S,1.2000033166259527e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,1.5041965525597334e-05,{}
4,4,10,BruteForce,S,3.834022209048271e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BruteForce,S,1.0665971785783768e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,3.3329706639051437e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BruteForce,S,1.329102087765932e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BruteForce,U,1.2792006600648165e-05,{}
9,4,10,BruteForce,U,1.2832984793931246e-05,{}
10,4,10,BruteForce,U,1.2750038877129555e-05,{}
11,8,16,BruteForce,U,0.00026879203505814075,{}
12,8,16,BruteForce,U,0.00023870798759162426,{}
13,8,16,BruteForce,S,0.00010033301077783108,"{1: True, 2: False, 3: False, 4: False, 5: True, 7: True, 8: False}"
14,8,16,BruteForce,S,0.0001379160094074905,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.00025929196272045374,{}
16,8,16,BruteForce,U,0.00021700002253055573,{}
17,8,16,BruteForce,S,0.00011037499643862247,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00021754199406132102,{}
19,8,16,BruteForce,S,0.00012799998512491584,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,1.8584018107503653e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.0003142500063404441,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BruteForce,S,0.0021384169813245535,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.0045360419899225235,{}
24,12,24,BruteForce,U,0.004315500031225383,{}
25,12,24,BruteForce,S,0.0013592499890364707,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
26,12,24,BruteForce,U,0.0045667910017073154,{}
27,12,24,BruteForce,U,0.004531749989837408,{}
28,12,24,BruteForce,S,0.0015305409906432033,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.00458329200046137,{}
30,12,24,BruteForce,S,0.0036630420363508165,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.03408845805097371,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BruteForce,U,0.08127466699806973,{}
33,16,32,BruteForce,S,0.05865308397915214,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.0008952089701779187,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BruteForce,U,0.07110116700641811,{}
36,16,32,BruteForce,S,0.013032249989919364,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.0753686249954626,{}
38,16,32,BruteForce,U,0.09118520800257102,{}
39,16,32,BruteForce,S,0.02476279198890552,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BruteForce,U,0.08497487497515976,{}
41,18,36,BruteForce,U,0.3514550420222804,{}
